"id";"Name";"Class";"Faction";"src"
51279;"Sanctified Lightsworn Shoulderplates";"Paladin";"both";52030
51278;"Sanctified Lightsworn Legplates";"Paladin";"both";52030
51277;"Sanctified Lightsworn Helmet";"Paladin";"both";52030
51276;"Sanctified Lightsworn Gauntlets";"Paladin";"both";52030
51275;"Sanctified Lightsworn Battleplate";"Paladin";"both";52030
51274;"Sanctified Lightsworn Tunic";"Paladin";"both";52030
51273;"Sanctified Lightsworn Spaulders";"Paladin";"both";52030
51272;"Sanctified Lightsworn Headpiece";"Paladin";"both";52030
51271;"Sanctified Lightsworn Greaves";"Paladin";"both";52030
51270;"Sanctified Lightsworn Gloves";"Paladin";"both";52030
51269;"Sanctified Lightsworn Shoulderguards";"Paladin";"both";52030
51268;"Sanctified Lightsworn Legguards";"Paladin";"both";52030
51267;"Sanctified Lightsworn Handguards";"Paladin";"both";52030
51266;"Sanctified Lightsworn Faceguard";"Paladin";"both";52030
51265;"Sanctified Lightsworn Chestguard";"Paladin";"both";52030
51264;"Sanctified Crimson Acolyte Shoulderpads";"Priest";"both";52030
51263;"Sanctified Crimson Acolyte Robe";"Priest";"both";52030
51262;"Sanctified Crimson Acolyte Leggings";"Priest";"both";52030
51261;"Sanctified Crimson Acolyte Hood";"Priest";"both";52030
51260;"Sanctified Crimson Acolyte Gloves";"Priest";"both";52030
51259;"Sanctified Crimson Acolyte Raiments";"Priest";"both";52030
51258;"Sanctified Crimson Acolyte Pants";"Priest";"both";52030
51257;"Sanctified Crimson Acolyte Mantle";"Priest";"both";52030
51256;"Sanctified Crimson Acolyte Handwraps";"Priest";"both";52030
51255;"Sanctified Crimson Acolyte Cowl";"Priest";"both";52030
51234;"Sanctified Dark Coven Shoulderpads";"Warlock";"both";52030
51233;"Sanctified Dark Coven Robe";"Warlock";"both";52030
51232;"Sanctified Dark Coven Leggings";"Warlock";"both";52030
51231;"Sanctified Dark Coven Hood";"Warlock";"both";52030
51230;"Sanctified Dark Coven Gloves";"Warlock";"both";52030
51289;"Sanctified Ahn'Kahar Blood Hunter's Tunic";"Hunter";"both";52029
51288;"Sanctified Ahn'Kahar Blood Hunter's Spaulders";"Hunter";"both";52029
51287;"Sanctified Ahn'Kahar Blood Hunter's Legguards";"Hunter";"both";52029
51286;"Sanctified Ahn'Kahar Blood Hunter's Headpiece";"Hunter";"both";52029
51285;"Sanctified Ahn'Kahar Blood Hunter's Handguards";"Hunter";"both";52029
51249;"Sanctified Frost Witch's Tunic";"Shaman";"both";52029
51248;"Sanctified Frost Witch's Handguards";"Shaman";"both";52029
51247;"Sanctified Frost Witch's Headpiece";"Shaman";"both";52029
51246;"Sanctified Frost Witch's Legguards";"Shaman";"both";52029
51245;"Sanctified Frost Witch's Spaulders";"Shaman";"both";52029
51244;"Sanctified Frost Witch's Chestguard";"Shaman";"both";52029
51243;"Sanctified Frost Witch's Grips";"Shaman";"both";52029
51242;"Sanctified Frost Witch's Faceguard";"Shaman";"both";52029
51241;"Sanctified Frost Witch's War-Kilt";"Shaman";"both";52029
51240;"Sanctified Frost Witch's Shoulderguards";"Shaman";"both";52029
51239;"Sanctified Frost Witch's Hauberk";"Shaman";"both";52029
51238;"Sanctified Frost Witch's Gloves";"Shaman";"both";52029
51237;"Sanctified Frost Witch's Helm";"Shaman";"both";52029
51236;"Sanctified Frost Witch's Kilt";"Shaman";"both";52029
51235;"Sanctified Frost Witch's Shoulderpads";"Shaman";"both";52029
51229;"Sanctified Ymirjar Lord's Shoulderplates";"Warrior";"both";52029
51228;"Sanctified Ymirjar Lord's Legplates";"Warrior";"both";52029
51227;"Sanctified Ymirjar Lord's Helmet";"Warrior";"both";52029
51226;"Sanctified Ymirjar Lord's Gauntlets";"Warrior";"both";52029
51225;"Sanctified Ymirjar Lord's Battleplate";"Warrior";"both";52029
51224;"Sanctified Ymirjar Lord's Pauldrons";"Warrior";"both";52029
51223;"Sanctified Ymirjar Lord's Legguards";"Warrior";"both";52029
51222;"Sanctified Ymirjar Lord's Handguards";"Warrior";"both";52029
51221;"Sanctified Ymirjar Lord's Greathelm";"Warrior";"both";52029
51220;"Sanctified Ymirjar Lord's Breastplate";"Warrior";"both";52029
51314;"Sanctified Scourgelord Shoulderplates";"Death Knight";"both";52028
51313;"Sanctified Scourgelord Legplates";"Death Knight";"both";52028
51312;"Sanctified Scourgelord Helmet";"Death Knight";"both";52028
51311;"Sanctified Scourgelord Gauntlets";"Death Knight";"both";52028
51310;"Sanctified Scourgelord Battleplate";"Death Knight";"both";52028
51309;"Sanctified Scourgelord Pauldrons";"Death Knight";"both";52028
51308;"Sanctified Scourgelord Legguards";"Death Knight";"both";52028
51307;"Sanctified Scourgelord Handguards";"Death Knight";"both";52028
51306;"Sanctified Scourgelord Faceguard";"Death Knight";"both";52028
51305;"Sanctified Scourgelord Chestguard";"Death Knight";"both";52028
51304;"Sanctified Lasherweave Pauldrons";"Druid";"both";52028
51303;"Sanctified Lasherweave Legplates";"Druid";"both";52028
51302;"Sanctified Lasherweave Helmet";"Druid";"both";52028
51301;"Sanctified Lasherweave Gauntlets";"Druid";"both";52028
51300;"Sanctified Lasherweave Robes";"Druid";"both";52028
51299;"Sanctified Lasherweave Shoulderpads";"Druid";"both";52028
51298;"Sanctified Lasherweave Raiment";"Druid";"both";52028
51297;"Sanctified Lasherweave Legguards";"Druid";"both";52028
51296;"Sanctified Lasherweave Headguard";"Druid";"both";52028
51295;"Sanctified Lasherweave Handgrips";"Druid";"both";52028
51294;"Sanctified Lasherweave Vestment";"Druid";"both";52028
51293;"Sanctified Lasherweave Trousers";"Druid";"both";52028
51292;"Sanctified Lasherweave Mantle";"Druid";"both";52028
51291;"Sanctified Lasherweave Gloves";"Druid";"both";52028
51290;"Sanctified Lasherweave Cover";"Druid";"both";52028
51284;"Sanctified Bloodmage Shoulderpads";"Mage";"both";52028
51283;"Sanctified Bloodmage Robe";"Mage";"both";52028
51282;"Sanctified Bloodmage Leggings";"Mage";"both";52028
51281;"Sanctified Bloodmage Hood";"Mage";"both";52028
51280;"Sanctified Bloodmage Gloves";"Mage";"both";52028
51254;"Sanctified Shadowblade Pauldrons";"Rogue";"both";52028
51253;"Sanctified Shadowblade Legplates";"Rogue";"both";52028
51252;"Sanctified Shadowblade Helmet";"Rogue";"both";52028
51251;"Sanctified Shadowblade Gauntlets";"Rogue";"both";52028
51250;"Sanctified Shadowblade Breastplate";"Rogue";"both";52028
51174;"Sanctified Lightsworn Chestguard";"Paladin";"both";52027
51173;"Sanctified Lightsworn Faceguard";"Paladin";"both";52027
51172;"Sanctified Lightsworn Handguards";"Paladin";"both";52027
51171;"Sanctified Lightsworn Legguards";"Paladin";"both";52027
51170;"Sanctified Lightsworn Shoulderguards";"Paladin";"both";52027
51169;"Sanctified Lightsworn Gloves";"Paladin";"both";52027
51168;"Sanctified Lightsworn Greaves";"Paladin";"both";52027
51167;"Sanctified Lightsworn Headpiece";"Paladin";"both";52027
51166;"Sanctified Lightsworn Spaulders";"Paladin";"both";52027
51165;"Sanctified Lightsworn Tunic";"Paladin";"both";52027
51164;"Sanctified Lightsworn Battleplate";"Paladin";"both";52027
51163;"Sanctified Lightsworn Gauntlets";"Paladin";"both";52027
51162;"Sanctified Lightsworn Helmet";"Paladin";"both";52027
51161;"Sanctified Lightsworn Legplates";"Paladin";"both";52027
51160;"Sanctified Lightsworn Shoulderplates";"Paladin";"both";52027
51184;"Sanctified Crimson Acolyte Cowl";"Priest";"both";52027
51183;"Sanctified Crimson Acolyte Handwraps";"Priest";"both";52027
51182;"Sanctified Crimson Acolyte Mantle";"Priest";"both";52027
51181;"Sanctified Crimson Acolyte Pants";"Priest";"both";52027
51180;"Sanctified Crimson Acolyte Raiments";"Priest";"both";52027
51179;"Sanctified Crimson Acolyte Gloves";"Priest";"both";52027
51178;"Sanctified Crimson Acolyte Hood";"Priest";"both";52027
51177;"Sanctified Crimson Acolyte Leggings";"Priest";"both";52027
51176;"Sanctified Crimson Acolyte Robe";"Priest";"both";52027
51175;"Sanctified Crimson Acolyte Shoulderpads";"Priest";"both";52027
51209;"Sanctified Dark Coven Gloves";"Warlock";"both";52027
51208;"Sanctified Dark Coven Hood";"Warlock";"both";52027
51207;"Sanctified Dark Coven Leggings";"Warlock";"both";52027
51206;"Sanctified Dark Coven Robe";"Warlock";"both";52027
51205;"Sanctified Dark Coven Shoulderpads";"Warlock";"both";52027
51154;"Sanctified Ahn'Kahar Blood Hunter's Handguards";"Hunter";"both";52026
51153;"Sanctified Ahn'Kahar Blood Hunter's Headpiece";"Hunter";"both";52026
51152;"Sanctified Ahn'Kahar Blood Hunter's Legguards";"Hunter";"both";52026
51151;"Sanctified Ahn'Kahar Blood Hunter's Spaulders";"Hunter";"both";52026
51150;"Sanctified Ahn'Kahar Blood Hunter's Tunic";"Hunter";"both";52026
51204;"Sanctified Frost Witch's Shoulderpads";"Shaman";"both";52026
51203;"Sanctified Frost Witch's Kilt";"Shaman";"both";52026
51202;"Sanctified Frost Witch's Helm";"Shaman";"both";52026
51201;"Sanctified Frost Witch's Gloves";"Shaman";"both";52026
51200;"Sanctified Frost Witch's Hauberk";"Shaman";"both";52026
51199;"Sanctified Frost Witch's Shoulderguards";"Shaman";"both";52026
51198;"Sanctified Frost Witch's War-Kilt";"Shaman";"both";52026
51197;"Sanctified Frost Witch's Faceguard";"Shaman";"both";52026
51196;"Sanctified Frost Witch's Grips";"Shaman";"both";52026
51195;"Sanctified Frost Witch's Chestguard";"Shaman";"both";52026
51194;"Sanctified Frost Witch's Spaulders";"Shaman";"both";52026
51193;"Sanctified Frost Witch's Legguards";"Shaman";"both";52026
51192;"Sanctified Frost Witch's Headpiece";"Shaman";"both";52026
51191;"Sanctified Frost Witch's Handguards";"Shaman";"both";52026
51190;"Sanctified Frost Witch's Tunic";"Shaman";"both";52026
51219;"Sanctified Ymirjar Lord's Breastplate";"Warrior";"both";52026
51218;"Sanctified Ymirjar Lord's Greathelm";"Warrior";"both";52026
51217;"Sanctified Ymirjar Lord's Handguards";"Warrior";"both";52026
51216;"Sanctified Ymirjar Lord's Legguards";"Warrior";"both";52026
51215;"Sanctified Ymirjar Lord's Pauldrons";"Warrior";"both";52026
51214;"Sanctified Ymirjar Lord's Battleplate";"Warrior";"both";52026
51213;"Sanctified Ymirjar Lord's Gauntlets";"Warrior";"both";52026
51212;"Sanctified Ymirjar Lord's Helmet";"Warrior";"both";52026
51211;"Sanctified Ymirjar Lord's Legplates";"Warrior";"both";52026
51210;"Sanctified Ymirjar Lord's Shoulderplates";"Warrior";"both";52026
51134;"Sanctified Scourgelord Chestguard";"Death Knight";"both";52025
51133;"Sanctified Scourgelord Faceguard";"Death Knight";"both";52025
51132;"Sanctified Scourgelord Handguards";"Death Knight";"both";52025
51131;"Sanctified Scourgelord Legguards";"Death Knight";"both";52025
51130;"Sanctified Scourgelord Pauldrons";"Death Knight";"both";52025
51129;"Sanctified Scourgelord Battleplate";"Death Knight";"both";52025
51128;"Sanctified Scourgelord Gauntlets";"Death Knight";"both";52025
51127;"Sanctified Scourgelord Helmet";"Death Knight";"both";52025
51126;"Sanctified Scourgelord Legplates";"Death Knight";"both";52025
51125;"Sanctified Scourgelord Shoulderplates";"Death Knight";"both";52025
51149;"Sanctified Lasherweave Cover";"Druid";"both";52025
51148;"Sanctified Lasherweave Gloves";"Druid";"both";52025
51147;"Sanctified Lasherweave Mantle";"Druid";"both";52025
51146;"Sanctified Lasherweave Trousers";"Druid";"both";52025
51145;"Sanctified Lasherweave Vestment";"Druid";"both";52025
51144;"Sanctified Lasherweave Handgrips";"Druid";"both";52025
51143;"Sanctified Lasherweave Headguard";"Druid";"both";52025
51142;"Sanctified Lasherweave Legguards";"Druid";"both";52025
51141;"Sanctified Lasherweave Raiment";"Druid";"both";52025
51140;"Sanctified Lasherweave Shoulderpads";"Druid";"both";52025
51139;"Sanctified Lasherweave Robes";"Druid";"both";52025
51138;"Sanctified Lasherweave Gauntlets";"Druid";"both";52025
51137;"Sanctified Lasherweave Helmet";"Druid";"both";52025
51136;"Sanctified Lasherweave Legplates";"Druid";"both";52025
51135;"Sanctified Lasherweave Pauldrons";"Druid";"both";52025
51159;"Sanctified Bloodmage Gloves";"Mage";"both";52025
51158;"Sanctified Bloodmage Hood";"Mage";"both";52025
51157;"Sanctified Bloodmage Leggings";"Mage";"both";52025
51156;"Sanctified Bloodmage Robe";"Mage";"both";52025
51155;"Sanctified Bloodmage Shoulderpads";"Mage";"both";52025
51189;"Sanctified Shadowblade Breastplate";"Rogue";"both";52025
51188;"Sanctified Shadowblade Gauntlets";"Rogue";"both";52025
51187;"Sanctified Shadowblade Helmet";"Rogue";"both";52025
51186;"Sanctified Shadowblade Legplates";"Rogue";"both";52025
51185;"Sanctified Shadowblade Pauldrons";"Rogue";"both";52025
48547;"Thassarian's Chestguard of Triumph";"Death Knight";"alliance";47559
48546;"Thassarian's Handguards of Triumph";"Death Knight";"alliance";47559
48545;"Thassarian's Faceguard of Triumph";"Death Knight";"alliance";47559
48544;"Thassarian's Legguards of Triumph";"Death Knight";"alliance";47559
48543;"Thassarian's Pauldrons of Triumph";"Death Knight";"alliance";47559
48490;"Thassarian's Battleplate of Triumph";"Death Knight";"alliance";47559
48489;"Thassarian's Gauntlets of Triumph";"Death Knight";"alliance";47559
48488;"Thassarian's Helmet of Triumph";"Death Knight";"alliance";47559
48487;"Thassarian's Legplates of Triumph";"Death Knight";"alliance";47559
48486;"Thassarian's Shoulderplates of Triumph";"Death Knight";"alliance";47559
48207;"Malfurion's Shoulderpads of Triumph";"Druid";"alliance";47559
48206;"Malfurion's Raiments of Triumph";"Druid";"alliance";47559
48205;"Malfurion's Legguards of Triumph";"Druid";"alliance";47559
48204;"Malfurion's Headguard of Triumph";"Druid";"alliance";47559
48203;"Malfurion's Handgrips of Triumph";"Druid";"alliance";47559
48172;"Malfurion's Gloves of Triumph";"Druid";"alliance";47559
48171;"Malfurion's Cover of Triumph";"Druid";"alliance";47559
48170;"Malfurion's Trousers of Triumph";"Druid";"alliance";47559
48169;"Malfurion's Vestments of Triumph";"Druid";"alliance";47559
48168;"Malfurion's Mantle of Triumph";"Druid";"alliance";47559
48142;"Malfurion's Handguards of Triumph";"Druid";"alliance";47559
48141;"Malfurion's Headpiece of Triumph";"Druid";"alliance";47559
